student_id,gender,department,scholarship,parental_education,extra_curricular,age,cgpa,attendance_rate,family_income,past_failures,study_hours_per_week,assignments_submitted,projects_completed,total_activities,sports_participation,dropout
204391,female,ECE,no,Graduate,no,22,6.920039429,100,-10411,2,8.1,17,4,0,yes,0
219724,other,CIVIL,no,Primary,no,21,6.684026181,85.48842833,15918,2,7.6,34,3,6,no,0
213150,male,CIVIL,no,Secondary,yes,23,6.790012124,86.96689707,54987,5,6.2,20,0,5,no,0
214739,other,BIO,no,Graduate,no,25,4.171005728,83.89966416,59444,4,12.8,14,4,8,no,1
204322,male,ECE,yes,Postgraduate,no,26,4.945652392,65.55490433,25849,2,20.1,26,4,2,yes,0
207403,female,CS,no,Postgraduate,yes,18,4.761247286,72.38083077,36723,2,18.5,26,0,2,yes,1
217266,other,COMMERCE,no,Graduate,yes,21,5.466104638,88.86746082,24968,2,7.3,1,4,2,yes,0
217919,other,CS,no,Primary,yes,24,6.028956535,90.23785716,56945,3,10.4,10,4,9,yes,0
218366,other,ARTS,no,Graduate,no,24,6.390839257,75.99496428,58359,2,21.6,7,1,6,no,0
206298,male,CIVIL,yes,Postgraduate,no,20,4.335330365,65.7013469,21265,6,21,24,4,2,no,0
212774,male,ME,no,Graduate,no,16,4.700623052,59.30301334,15097,6,22.2,0,1,2,yes,1
204774,male,COMMERCE,yes,Secondary,yes,26,6.982753194,65.51181709,24225,6,17.1,23,2,4,no,0
205857,female,ME,no,Graduate,no,24,6.677911529,57.40472388,29648,5,14.4,16,0,9,no,1
218539,female,ME,yes,Graduate,no,19,6.537049119,84.92707295,15266,4,6.5,38,0,9,no,0
204772,other,ME,no,Graduate,no,17,4.704428554,75.09409398,66227,4,15.2,2,4,9,yes,0
210752,male,ME,no,Graduate,no,21,5.582933403,75.09409398,32594,3,19.4,3,0,7,yes,0
203886,male,COMMERCE,no,Graduate,yes,21,6.960243589,81.49411218,63003,6,24.3,23,3,0,no,0
202937,other,ME,yes,Postgraduate,no,23,5.952613082,88.13052384,87763,3,14.6,6,3,4,no,0
213855,female,BIO,yes,Graduate,no,23,5.509995241,80.15846798,52895,5,20.7,57,1,0,no,1
217874,male,COMMERCE,no,Graduate,no,18,5.500271303,78.55011105,27113,6,19.8,27,2,3,no,0
214518,female,ARTS,yes,Graduate,yes,17,4.586764257,73.01074774,37099,5,13.5,42,0,3,no,0
207486,other,ARTS,no,Graduate,no,24,6.731259638,80.64843588,56022,4,7.9,9,4,3,no,1
215653,male,ARTS,yes,Secondary,no,22,4.660754381,81.71340043,81930,6,8.7,34,2,6,no,1
208603,other,COMMERCE,no,Graduate,no,18,4.721404046,87.39132763,12981,2,14.6,7,2,1,no,0
215210,male,CIVIL,yes,Graduate,no,21,4.250031896,68.59903289,55649,4,8.5,47,4,5,no,0
213188,male,CIVIL,yes,Postgraduate,no,26,5.500271303,66.24364456,29489,4,12,38,0,5,no,1
219085,other,CIVIL,no,Graduate,yes,26,4.916014103,90.45684705,32983,4,24.9,47,4,2,yes,1
216833,other,CIVIL,yes,Postgraduate,no,19,6.523125005,45.26230488,65884,4,18,17,2,3,yes,1
217953,other,CIVIL,no,Graduate,no,19,5.315604934,77.78585646,33356,4,19.9,0,2,6,no,0
202753,other,CIVIL,no,Postgraduate,no,19,6.275329538,78.47622543,40505,5,17.1,32,1,4,no,0
209326,female,COMMERCE,yes,Graduate,yes,24,4.772035935,63.49007283,37161,5,12.1,45,2,3,yes,1
206846,female,CIVIL,no,Secondary,no,25,6.925640788,84.81167743,80021,5,8.7,6,1,0,yes,0
219599,male,CIVIL,no,Graduate,no,22,5.832097541,60.87077168,43952,3,9.9,33,1,2,yes,0
207212,other,CIVIL,no,Primary,no,21,6.251251578,55.52120879,73308,5,17.9,37,3,8,no,1
214644,male,BIO,no,Secondary,no,25,4.397576487,100,35457,4,13.6,20,2,6,no,0
203975,female,CIVIL,yes,Postgraduate,no,19,6.526786985,68.84560888,28805,4,6.7,48,3,9,no,0
207745,male,ME,no,Graduate,no,25,5.128902045,95.14405403,48409,3,8.3,1,3,7,no,0
219329,male,CIVIL,no,Secondary,no,21,5.124667585,92.37245296,69509,3,7.6,51,1,0,no,0
203710,male,CIVIL,no,Graduate,no,19,6.985223964,66.85187776,29673,6,15.4,35,0,4,no,0
218095,other,ARTS,no,Graduate,no,26,5.073387867,78.33981171,41814,2,20.6,44,2,7,no,0
210633,female,CIVIL,no,Postgraduate,yes,19,5.500271303,74.27553916,45026,5,9.9,45,3,0,no,0
217487,other,CIVIL,no,Graduate,yes,25,5.474496689,75.72427145,35526,5,21.4,32,2,3,no,1
216382,male,CIVIL,no,Secondary,no,21,5.865521249,75.09409398,74683,3,24.7,43,0,0,no,1
209995,other,CIVIL,yes,Graduate,yes,17,5.5229031,54.174323,70616,3,13.9,8,4,4,no,1
219604,male,BIO,yes,Graduate,no,20,6.853157047,97.49464433,31795,3,6.3,22,1,5,no,0
210560,male,CS,no,Graduate,yes,18,4.903891345,61.98512057,62372,5,7,56,3,2,no,1
215959,other,BIO,no,Secondary,no,24,4.935491451,75.09409398,48011,2,14.9,38,4,1,no,0
210928,male,BIO,no,Postgraduate,no,21,4.849113528,80.23248538,10043,3,5.1,23,0,9,no,0
218772,male,CIVIL,no,Graduate,no,21,5.535252246,70.15772025,65765,4,15.8,30,2,4,no,1
215730,female,ECE,no,Graduate,yes,19,6.287953873,71.83785536,49705,2,5.8,21,2,2,no,0
212066,female,BIO,no,Graduate,no,18,6.913920476,68.09949752,42329,4,15.1,24,2,1,no,0
219450,other,CIVIL,no,Graduate,no,21,6.643959794,95.4550517,33242,5,21.8,32,0,1,no,0
217585,other,ARTS,no,Graduate,yes,20,6.730297592,75.20312383,50044,5,15.1,48,1,0,no,1
205426,female,CIVIL,no,Graduate,no,21,4.915175342,86.23072549,73396,2,15.4,51,1,5,yes,0
209639,other,CIVIL,yes,Graduate,no,18,5.71333908,67.69640756,37543,2,6.7,22,2,3,no,0
206660,other,BIO,yes,Postgraduate,yes,23,5.034232152,72.56523135,54051,5,23.3,31,4,7,no,0
206534,other,BIO,no,Graduate,no,20,5.776314227,85.37402443,49976,4,13,43,3,1,no,0
206547,other,CIVIL,yes,Graduate,yes,22,4.868948029,73.01928138,55644,2,8.8,44,0,9,no,0
215672,female,ARTS,yes,Primary,no,26,5.92018577,94.68248668,37320,4,22.4,11,0,2,no,0
215427,other,ECE,no,Graduate,no,25,5.279146891,63.61906568,74581,4,19.4,31,1,0,yes,0
209728,other,CS,no,Graduate,no,24,4.744531342,60.27514418,52296,5,18.7,27,3,7,no,0
203142,other,CIVIL,yes,Primary,yes,23,5.334475455,64.24481214,32094,6,6.3,37,2,2,no,1
201527,other,ME,no,Graduate,no,22,4.203877628,96.08204567,67171,4,24.2,34,4,9,no,0
210127,other,CIVIL,no,Graduate,no,26,6.074431458,74.44296043,31930,2,12.7,48,0,6,yes,0
208865,other,COMMERCE,no,Graduate,no,18,4.118177991,77.37774197,80570,3,15.1,48,1,4,no,0
218798,female,CIVIL,no,Graduate,no,16,6.706783304,72.27678926,37060,5,7.4,12,1,7,no,1
206867,other,CIVIL,no,Graduate,no,21,5.087267027,91.56820968,59274,4,17.2,54,4,0,yes,0
204954,other,ME,no,Graduate,yes,17,5.534980119,71.62041055,36284,6,20.9,51,0,3,no,1
216235,female,BIO,yes,Graduate,no,22,5.314623378,71.24411474,41898,2,9.3,33,4,4,no,0
208642,female,ME,no,Graduate,yes,20,4.457290899,85.96064729,37812,6,21.2,32,1,9,no,0
219533,other,ARTS,yes,Graduate,no,16,6.825243025,68.90318533,20117,3,12.3,53,1,7,no,0
219962,female,CIVIL,yes,Primary,no,24,6.097243392,86.50298734,80353,5,22.7,39,1,7,no,0
219938,female,ECE,no,Postgraduate,no,22,4.247314581,100,58613,5,21.8,47,1,8,no,0
200385,other,ME,no,Graduate,yes,21,5.376263386,72.39002071,55452,3,14.8,38,2,0,no,0
213291,other,CIVIL,no,Graduate,no,23,4.556744917,100,46916,5,24.4,19,1,2,no,0
208485,female,COMMERCE,yes,Graduate,no,19,6.308878087,55.51204866,64750,4,8.1,42,0,9,yes,0
215005,male,CIVIL,no,Graduate,yes,21,4.307053967,67.00695155,34925,3,13.5,30,2,9,no,0
207913,male,CIVIL,no,Postgraduate,yes,24,4.620640958,80.77138014,46145,4,16.1,2,0,9,yes,0
205915,female,ME,no,Secondary,yes,19,4.695441352,62.34387402,40448,2,13.4,21,4,6,no,0
219169,male,BIO,no,Primary,no,25,5.114097286,78.16542495,42663,4,23.5,10,2,3,no,1
205554,other,ECE,no,Graduate,yes,19,4.639419285,78.8012948,80212,5,22.2,43,1,1,no,1
208477,male,CIVIL,no,Primary,yes,19,5.581523909,56.78748219,65031,3,9.8,29,3,4,no,0
210069,male,COMMERCE,no,Graduate,no,18,6.075542825,61.06461768,43545,6,13.3,5,2,4,no,0
213719,other,CIVIL,no,Secondary,no,24,4.605929744,79.78632767,23901,5,11.5,34,3,0,no,1
204874,female,COMMERCE,yes,Graduate,no,19,4.443175782,71.32684872,38104,4,16.6,25,4,8,no,0
212326,female,CIVIL,no,Postgraduate,yes,16,6.78907526,58.30551498,47627,6,21.6,9,4,0,no,1
200290,male,BIO,no,Graduate,no,22,4.665751883,53.33655745,25902,6,20.2,36,0,6,yes,1
218041,other,CIVIL,no,Secondary,yes,23,4.119075609,83.62401724,43761,6,8.4,17,0,0,no,0
207199,female,CS,no,Graduate,no,19,6.701206932,78.56145799,8039,2,7.2,17,1,8,no,0
215709,female,ECE,no,Secondary,no,22,6.31123598,46.12414696,70722,6,13.4,52,4,1,yes,1
214971,male,CIVIL,no,Graduate,no,18,5.500271303,92.68632634,68018,4,9,1,0,8,no,1
218883,male,CIVIL,no,Graduate,no,16,6.196100945,69.00993728,67378,2,18.7,59,3,7,no,0
206896,female,CS,no,Graduate,no,20,5.500271303,78.05849968,43907,6,23.2,45,4,3,yes,1
210034,other,CIVIL,yes,Primary,no,26,6.94632593,78.43445993,62987,5,24.4,43,0,3,yes,0
204024,female,ECE,no,Graduate,yes,18,4.990778812,83.51382303,13536,5,19.4,36,0,6,no,0
218821,other,CIVIL,yes,Postgraduate,no,16,5.282099391,63.02020707,74735,3,14.6,10,1,9,no,0
215262,female,CIVIL,no,Graduate,no,21,4.459276313,75.09409398,71943,3,17,28,1,0,yes,0
200812,other,CIVIL,no,Secondary,no,20,6.170938124,51.08418967,44489,4,8.1,24,4,1,no,1
209514,female,CIVIL,no,Secondary,no,25,4.698555383,77.38195414,26003,5,15,14,4,6,yes,1
204688,other,CIVIL,no,Postgraduate,no,20,4.360789635,75.89828514,45578,4,14.9,51,1,6,no,1
202405,male,BIO,no,Graduate,yes,21,5.467979028,68.47469247,493140,6,17.8,18,3,9,yes,1
207061,female,BIO,yes,Secondary,no,21,5.500271303,83.62957622,60363,3,9,58,1,0,no,0
214674,female,CS,no,Graduate,no,20,5.544095616,81.47455863,30462,6,20.1,26,0,2,yes,1
212692,female,ECE,no,Primary,yes,17,5.167948305,61.31787698,64625,6,19.6,28,1,4,no,0
209626,female,BIO,no,Graduate,yes,23,5.193422951,98.44749727,50550,3,20.7,22,2,2,no,0
210101,female,BIO,no,Postgraduate,yes,23,6.813838677,64.97442928,91812,4,7.2,22,4,7,yes,1
215296,female,ME,no,Primary,no,26,4.437928758,83.83124508,34598,3,6.4,6,3,1,no,0
214263,female,CIVIL,no,Graduate,no,23,4.786191608,70.70832971,60043,3,17.7,24,1,6,yes,1
202485,female,COMMERCE,no,Graduate,no,26,6.7126436,82.30210159,60068,5,8.8,19,4,3,no,0
213196,male,BIO,no,Graduate,no,21,6.427683012,80.88135778,45903,2,9.1,24,0,5,no,0
213152,male,ARTS,no,Graduate,no,19,6.196470527,77.74795719,44101,6,19.6,33,1,4,no,0
215825,other,CS,no,Postgraduate,no,19,5.946512307,64.67799553,38899,6,13.7,58,4,5,yes,0
213960,other,CIVIL,no,Postgraduate,yes,20,5.132884114,75.09409398,42297,4,19.9,8,1,9,no,1
216781,female,CIVIL,no,Secondary,yes,16,5.73489903,68.8125253,85728,3,23.4,11,4,2,no,0
207442,male,ECE,no,Secondary,no,20,5.369158766,70.70831921,59167,4,9.3,1,3,1,yes,0
209805,other,ARTS,yes,Graduate,yes,16,5.038144792,64.88886815,43722,2,10.3,31,2,1,yes,0
206137,other,ME,no,Graduate,no,17,6.805773682,75.6732002,99944,2,16.6,9,0,9,no,1
204903,male,COMMERCE,no,Graduate,no,20,5.537343999,81.53935783,50273,4,13.3,46,1,8,yes,0
208931,male,CIVIL,no,Graduate,no,25,6.656336846,92.31822101,77895,2,9.4,21,2,8,no,1
201201,male,CIVIL,yes,Graduate,no,22,6.621692697,75.83903539,65008,6,6.5,21,1,6,yes,1
217335,male,BIO,no,Graduate,yes,21,4.509091858,69.15333032,52643,4,21.7,52,4,0,no,1
206178,female,CIVIL,no,Graduate,no,22,4.683361642,56.80326216,66760,6,14.9,27,3,2,no,1
216657,female,CS,no,Graduate,no,23,4.432759848,55.18017593,45662,4,20.2,12,2,7,no,1
209675,male,ME,no,Graduate,no,22,4.439165242,75.08979704,57266,5,8.2,23,1,2,no,1
211887,male,BIO,no,Secondary,yes,20,4.300812081,72.8830532,49938,6,15.2,48,1,8,no,0
219427,female,CS,yes,Graduate,yes,23,4.905815182,65.02610874,62027,5,11.4,5,2,1,no,1
202898,female,ME,yes,Primary,no,17,6.12529529,84.97103727,19140,4,19.7,53,2,6,no,0
213280,other,ARTS,yes,Postgraduate,yes,21,5.500271303,93.12014243,79164,4,24.6,11,3,3,no,0
217723,male,ARTS,no,Graduate,no,21,4.042152581,82.03652185,61052,3,10.4,35,1,5,no,0
217141,female,CS,yes,Secondary,no,21,4.282484563,75.37346694,61378,6,19.1,34,2,2,no,1
206381,female,ME,no,Primary,no,22,6.138198236,65.8227271,29005,4,15.2,28,0,2,yes,0
217190,male,CIVIL,no,Graduate,no,20,6.760779625,73.11547591,74342,4,13.6,8,1,5,no,0
219200,female,CIVIL,no,Graduate,no,25,5.500271303,54.0930745,49573,6,13.2,24,1,6,yes,1
216655,male,CS,no,Graduate,no,18,4.709308457,70.19963541,46896,4,10,32,3,6,no,0
203572,female,CIVIL,yes,Graduate,no,20,4.319835992,55.91736695,59794,3,12.9,40,4,5,yes,0
215437,male,BIO,yes,Graduate,yes,26,6.69984045,82.49608379,73618,5,6.1,21,3,3,no,0
213112,other,CIVIL,no,Graduate,no,25,6.594843587,100,46152,6,12.8,1,3,4,yes,0
204639,other,CS,yes,Graduate,yes,20,6.021830187,70.9281863,61723,6,14.8,54,1,7,no,0
208703,male,ECE,no,Graduate,yes,25,4.353673096,93.94637315,31541,4,12.1,47,2,3,yes,0
217012,other,CIVIL,yes,Graduate,yes,17,4.543434605,83.74555544,55578,3,10.7,22,2,2,yes,0
204191,other,ARTS,no,Secondary,no,25,4.887796053,84.28687921,55820,6,19.6,59,2,9,no,0
200803,male,ME,yes,Primary,no,19,5.345364235,43.6684681,90698,6,24.4,47,0,5,yes,1
204909,male,CS,no,Graduate,yes,24,5.461987056,75.30284652,34433,3,6.5,22,2,4,yes,0
207101,male,CIVIL,no,Secondary,yes,25,6.548649832,81.67841136,59338,3,17.3,11,2,2,no,0
203533,female,CIVIL,yes,Primary,no,25,5.925545723,61.59796641,50361,5,5.7,37,2,4,no,1
214991,female,ARTS,yes,Graduate,yes,20,6.567599143,53.65827593,48270,5,8.4,38,2,6,no,1
210052,male,ARTS,no,Graduate,yes,20,4.059765617,95.04212959,32527,2,12.3,16,4,0,no,0
202361,male,COMMERCE,no,Secondary,no,21,4.609436497,56.15619859,69618,2,17.9,24,1,0,no,0
201297,other,CS,no,Graduate,yes,17,6.865968794,72.53624325,35072,4,12.3,5,2,2,no,0
205683,female,CS,no,Graduate,yes,17,6.161096593,86.22583929,59189,4,11.4,54,1,0,no,0
202140,male,BIO,no,Graduate,no,21,4.031346928,88.45248925,69402,6,22,12,0,8,no,0
217753,female,CIVIL,no,Graduate,no,22,4.398170003,67.45671071,87154,6,20.7,3,2,2,yes,1
212084,male,CIVIL,yes,Graduate,no,21,5.672228461,62.88644884,30628,2,15.4,42,3,4,no,0
207662,female,ARTS,no,Primary,no,23,4.197005482,78.38760198,27300,4,17.9,24,2,6,no,1
209983,female,CIVIL,yes,Graduate,yes,24,4.695049106,53.22748575,74535,3,5.2,17,3,9,yes,0
216706,other,CIVIL,no,Primary,no,21,4.8528196,65.04578276,44886,3,8.4,38,4,9,no,1
212376,female,CS,no,Graduate,no,23,4.257364635,72.61139024,49936,5,18.7,3,1,9,yes,0
205770,other,CIVIL,no,Secondary,no,19,6.002094207,75.09409398,58786,6,23.3,38,1,5,no,0
211765,other,CIVIL,yes,Graduate,no,24,5.177630594,88.23623147,58806,2,21.1,4,2,9,yes,0
219480,female,ME,yes,Graduate,no,26,5.597415068,52.04706607,28930,5,20.7,42,4,4,yes,1
205871,other,BIO,no,Secondary,no,21,4.005407091,90.85230332,73310,2,14.8,40,4,1,no,0
211498,female,BIO,no,Graduate,no,17,6.419631686,63.30598259,26667,2,21.7,10,4,0,no,0
211118,female,CIVIL,no,Primary,no,24,5.360323227,78.97475019,45446,5,17.3,40,2,8,no,0
202386,female,CIVIL,no,Graduate,no,23,4.764210765,82.69831864,-2604,5,13.3,18,2,6,no,0
212619,other,ARTS,no,Graduate,no,22,5.500271303,77.81424699,44612,5,22.1,5,1,6,yes,0
213681,other,COMMERCE,yes,Graduate,no,19,4.798279511,81.66850174,43943,6,17.4,22,1,7,no,1
202915,female,CIVIL,yes,Graduate,yes,20,4.499711117,68.43574455,42940,5,20.8,19,1,6,yes,1
216327,female,CIVIL,no,Secondary,no,23,5.085559646,71.36123853,37537,2,13.1,8,4,4,no,0
214176,other,CIVIL,yes,Graduate,no,17,4.386306247,67.35178018,56073,4,21.4,41,0,6,no,1
200474,other,ECE,no,Secondary,yes,21,4.996021321,87.8894483,77275,4,18.6,41,2,1,yes,0
217829,female,ECE,no,Postgraduate,no,26,4.130331591,80.72128001,78802,4,23.7,56,3,7,no,0
218636,male,CS,no,Graduate,no,17,4.637184907,84.54666896,58614,4,10.6,4,1,6,no,1
203578,female,CS,no,Graduate,yes,19,5.409209223,71.56720184,37773,3,18.9,24,1,3,no,0
219675,male,ME,no,Graduate,no,21,6.10397316,75.09409398,18049,6,5.7,16,0,2,yes,1
213115,female,COMMERCE,yes,Graduate,no,26,6.441729464,77.1726435,75430,3,13.8,48,3,5,no,0
214186,male,CS,no,Secondary,no,26,5.810454501,80.48990399,40359,3,23.4,27,3,7,yes,0
205589,female,CS,no,Graduate,no,16,6.90611564,51.15048587,59061,3,23.9,4,2,1,yes,0
214521,male,ME,yes,Graduate,no,23,4.474921487,68.06409727,76744,4,24.2,27,1,0,yes,0
205042,other,BIO,yes,Graduate,yes,21,4.401622892,97.21792576,58221,6,10.6,0,4,8,no,1
215625,male,ME,no,Secondary,no,19,6.539079062,75.9207615,46165,5,8.9,48,1,4,no,0
201572,other,BIO,no,Graduate,no,26,6.942886839,52.00159482,39656,5,15.1,41,0,6,yes,0
206808,other,ARTS,yes,Graduate,no,21,6.044359529,88.7860542,30687,4,14.1,9,0,9,yes,1
206532,other,BIO,no,Graduate,yes,20,5.500271303,59.64508255,57380,5,21.1,33,1,3,no,1
218542,female,CIVIL,no,Graduate,no,24,5.801396366,77.95563524,34690,6,15.1,11,3,9,no,1
201433,male,CIVIL,no,Primary,no,23,6.520246239,81.65697028,55548,4,24.1,44,3,6,yes,0
202864,other,BIO,no,Secondary,no,25,5.749173741,91.49885313,48767,6,12.7,18,4,4,no,0
200538,other,ARTS,yes,Secondary,no,17,5.751581133,77.04090449,38481,2,16.5,29,0,5,no,0
219037,male,ECE,no,Postgraduate,no,23,4.911666505,70.93659859,45881,6,5.6,16,3,9,no,1
217584,female,ME,no,Graduate,no,22,6.272130179,68.35412242,79768,4,23.6,24,3,4,no,0
205564,female,ME,yes,Graduate,yes,17,6.185030549,61.80173626,38958,4,15.1,40,0,5,no,0
209282,male,BIO,no,Primary,no,19,4.272771222,64.51612158,52137,4,16.5,7,4,0,no,1
213442,female,ECE,no,Primary,yes,24,6.42994086,69.22886789,38095,5,16.6,29,0,0,no,0
214935,other,ECE,no,Graduate,no,16,5.067859225,90.90883256,32349,6,6.3,52,3,7,yes,0
201272,other,CS,no,Graduate,no,19,5.071432336,91.82630888,64375,5,13.3,35,3,0,no,0
202687,male,CIVIL,no,Secondary,yes,21,5.78520758,79.36068799,42639,5,5.7,11,4,6,no,1
216431,other,CIVIL,yes,Graduate,no,21,6.337726866,64.34940488,47490,4,13,39,2,4,yes,0
200451,female,BIO,no,Secondary,no,23,5.274291436,88.79652959,44098,5,23.8,20,4,1,no,0
210432,other,CIVIL,no,Postgraduate,no,23,5.891199894,71.40024146,52318,5,24.8,12,4,9,no,0
210263,other,CIVIL,yes,Primary,no,20,4.190227524,77.89708203,38773,4,19.9,38,4,2,no,1
216430,female,ARTS,no,Graduate,no,20,5.90851324,75.36859517,30500,4,16,26,3,8,no,0
203941,male,ECE,no,Primary,no,24,4.588335123,84.64432981,186,2,20,38,2,2,no,0
203922,female,COMMERCE,yes,Graduate,no,17,5.743355563,71.30601472,40865,5,14.1,19,3,2,no,0
204496,female,CIVIL,no,Graduate,yes,20,5.065505614,66.87849058,93976,6,8.4,10,2,8,no,1
214652,male,CIVIL,yes,Postgraduate,yes,26,4.83627051,58.08281778,49136,2,13.3,39,2,5,no,0
201034,male,COMMERCE,no,Postgraduate,yes,21,5.84441527,69.22654643,22758,4,16.5,21,3,7,no,1
207840,male,ME,no,Postgraduate,no,23,6.994699947,86.9104773,34419,6,21.1,29,3,2,yes,0
217287,other,CIVIL,yes,Graduate,no,20,5.081022422,87.67381273,48662,6,12.2,1,0,5,yes,0
210269,female,ARTS,yes,Graduate,no,22,4.684849176,84.18393999,44380,2,17.3,31,3,6,no,0
210993,female,BIO,no,Graduate,no,18,6.253797899,66.1685887,25726,6,7.7,41,0,0,yes,1
201355,other,ECE,no,Primary,no,25,6.963637784,82.52895697,44918,5,13.4,37,0,9,no,0
202115,other,ECE,no,Graduate,yes,20,5.554364535,76.40015469,29657,4,22.6,36,0,9,yes,0
201328,male,ME,yes,Graduate,yes,19,4.392574021,77.8761936,51582,3,7.3,28,4,6,no,0
204194,other,CIVIL,yes,Graduate,no,22,5.505836634,70.51042547,45362,2,23.5,4,0,4,no,0
213660,other,CIVIL,no,Primary,yes,23,6.46819882,39.11454081,47347,4,22.1,16,4,9,no,0
218038,female,COMMERCE,yes,Primary,no,24,5.700302445,88.7350498,43946,3,21.9,18,3,8,no,0
204949,female,BIO,no,Secondary,no,18,5.212568493,66.6064072,50589,3,16.4,31,2,9,yes,0
215872,other,ECE,no,Graduate,yes,20,4.266395929,67.03447709,72988,5,12,43,1,9,no,0
204610,female,ME,no,Primary,no,25,5.127508485,61.26951423,30787,5,9.5,16,0,1,no,0
219844,other,ECE,yes,Primary,yes,21,4.294513986,77.48302031,32021,6,11.5,31,4,6,yes,0
202026,male,ECE,no,Secondary,no,18,6.760899965,84.04001002,5378,4,5.3,46,1,8,no,0
214581,other,CIVIL,no,Graduate,no,19,6.729621749,91.67697505,63591,5,24.5,53,3,8,no,0
208097,other,BIO,yes,Primary,no,24,6.42952495,69.94346888,81421,3,14.5,52,3,6,no,0
